group_no,attempt_no,turn_no,num_action,duration,num_add,num_del,num_edit,freq_add,freq_del
12,7,48,2,5.872000000000071,2,0,2,1.0,0.0
12,7,49,2,16.94199999999978,2,0,2,1.0,0.0
12,7,50,6,4.615000000000009,0,0,0,-1.0,2.0
12,8,50,4,52.01999999999998,1,1,2,0.5,0.5
12,8,51,36,55.80400000000009,2,0,2,1.0,0.0
12,8,52,7,28.4849999999999,2,0,2,1.0,0.0
12,8,53,13,20.80100000000016,2,0,2,1.0,0.0
12,8,54,2,7.917000000000144,2,0,2,1.0,0.0
12,8,55,7,8.181999999999789,1,0,1,1.0,0.0
14,1,1,4,48.318,2,0,2,1.0,0.0
14,1,2,4,20.917999999999992,2,0,2,1.0,0.0
14,1,3,2,10.78200000000001,2,0,2,1.0,0.0
14,1,4,2,12.937999999999988,2,0,2,1.0,0.0
14,1,5,2,5.492000000000019,2,0,2,1.0,0.0
14,1,6,5,24.00799999999998,2,0,2,1.0,0.0
14,1,7,10,61.70500000000003,1,0,1,1.0,0.0
14,2,7,2,58.18000000000001,2,0,2,1.0,0.0
